,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 or More,All Homes,Bottom Tier,Condominiums,Decreasing Values,Estimated Rent per Square Foot,"Estimated Rent, All Homes in Region",Increasing Values,Listings with Price Cut in Last 30 Days,Median List Price,Median List Price per Square Foot,Median Price Cut,"Median Rent, Homes Listed for Rent",Median Sale Price,Median Sale Price per Square Foot,Middle Tier,"Monthly Foreclosures per 10,000 Homes",Months of Housing Inventory Supply,Number of Homes for Rent,Number of Homes for Sale,Percentage of Sales that were Foreclosures,Price per Square Foot,Price-to-Rent Ratio,Ratio of Sale Price to List Price,Single Family Residences,Sold for Gain,Sold for Loss,Top Tier,"Turnover in Housing Market, Past 1 Year",state
1996-04-30,68200.0,50200.0,79700.0,147300.0,207300.0,83500.0,49000.0,,,,,,,,,,,86725.0,54.8625,80900.0,,,,,,51.0,,,82500.0,,,137700.0,,ALABAMA
1996-05-31,68100.0,50300.0,79800.0,147500.0,204300.0,83400.0,48500.0,,,,,,,,,,,82900.0,52.5821,80600.0,,,,,,51.0,,,82200.0,,,137800.0,,ALABAMA
1996-06-30,68000.0,50700.0,80200.0,147900.0,202100.0,83700.0,48100.0,,,,,,,,,,,79237.5,50.2378,80500.0,,,,,,50.0,,,82300.0,,,137900.0,,ALABAMA
1996-07-31,67300.0,50900.0,80400.0,148000.0,201100.0,83800.0,47800.0,,,,,,,,,,,76912.5,49.5413,80500.0,,,,,,50.0,,,82600.0,,,138400.0,,ALABAMA
1996-08-31,66400.0,50600.0,80300.0,148300.0,200600.0,83700.0,47500.0,,,,,,,,,,,79340.0,50.4729,80400.0,,,,,,51.0,,,82700.0,,,138800.0,,ALABAMA
1996-09-30,65800.0,50300.0,80500.0,149100.0,200400.0,83700.0,47200.0,,,,,,,,,,,77735.0,49.4818,80300.0,,,,,,51.0,,,82700.0,,,139400.0,,ALABAMA
1996-10-31,65500.0,50100.0,80700.0,149700.0,200700.0,83700.0,47100.0,,,,,,,,,,,74665.0,47.8506,80400.0,,,,,,50.0,,,82800.0,,,140100.0,,ALABAMA
1996-11-30,65500.0,50000.0,80800.0,150100.0,200700.0,83700.0,47300.0,,,,,,,,,,,72185.0,46.6936,80600.0,,,,,,50.0,,,83100.0,,,140200.0,,ALABAMA
1996-12-31,65500.0,50200.0,81100.0,150500.0,200600.0,83800.0,47400.0,,,,,,,,,,,69575.0,46.5531,80800.0,,,,,,50.0,,,83400.0,,,140100.0,,ALABAMA
1997-01-31,65300.0,50300.0,81500.0,151200.0,200700.0,84100.0,47200.0,,,,,,,,,,,70100.0,46.4749,80900.0,,,,,,50.0,,,83600.0,,,140200.0,,ALABAMA
1997-02-28,65200.0,50300.0,81800.0,151900.0,200800.0,84600.0,46900.0,,24.3,,,68.99,,,,,,72650.0,47.7285,81000.0,,,,,,50.0,,,83900.0,,,140400.0,,ALABAMA
1997-03-31,65400.0,50300.0,81700.0,152500.0,201300.0,84600.0,46900.0,,20.24,,,72.56,,,,,,76975.0,50.5712,81000.0,,,,,,51.0,,,83800.0,,,140600.0,,ALABAMA
1997-04-30,65800.0,50700.0,81800.0,152800.0,202800.0,84200.0,47000.0,,24.67,,,67.63,,,,,,81700.0,54.6081,80900.0,,,,,,51.0,,,83500.0,,,140500.0,,ALABAMA
1997-05-31,67000.0,51000.0,82300.0,152800.0,204600.0,83700.0,47000.0,,47.69,,,46.85,,,,,,86215.0,56.007,80500.0,,,,,,51.0,,,83300.0,,,139900.0,,ALABAMA
1997-06-30,68300.0,51000.0,82700.0,152900.0,206700.0,83600.0,47000.0,,33.89,,,58.89,,,,,,84430.0,53.6982,80600.0,,,,,,51.0,,,83200.0,,,139700.0,,ALABAMA
1997-07-31,69000.0,51100.0,83200.0,153300.0,208100.0,84000.0,47300.0,95000.0,34.18,,,58.34,,,,,,83231.5,53.117,80900.0,,,,,,51.0,,,83400.0,,,140000.0,,ALABAMA
1997-08-31,69300.0,51800.0,83400.0,153700.0,208100.0,84700.0,47600.0,95600.0,28.95,,,64.49,,,,,,82463.5,52.968,81000.0,,,,,,51.0,,,83900.0,,,140000.0,,ALABAMA
1997-09-30,69600.0,52200.0,83600.0,154200.0,208100.0,85400.0,47400.0,96500.0,21.83,,,73.47,,,,,,81325.0,52.6425,81200.0,,,,,,51.0,,,84200.0,,,140300.0,,ALABAMA
1997-10-31,69400.0,52400.0,83800.0,154600.0,208900.0,85700.0,47200.0,95700.0,19.91,,,75.87,,,,,,82375.0,53.2866,81400.0,,,,,,51.0,,,84400.0,,,140600.0,,ALABAMA
1997-11-30,69100.0,52600.0,84000.0,155300.0,210100.0,86000.0,47100.0,93200.0,22.62,,,72.68,,,,,,86400.0,54.3046,81500.0,,,,,,51.0,,,84700.0,,,141400.0,,ALABAMA
1997-12-31,69400.0,52700.0,84300.0,156600.0,212100.0,86100.0,47100.0,91600.0,23.81,,,70.83,,,,,,90600.0,56.3482,81900.0,,,,,,51.0,,,84900.0,,,143200.0,,ALABAMA
1998-01-31,69700.0,52900.0,84800.0,158100.0,214000.0,86000.0,47300.0,90900.0,24.77,,,69.56,,,,,,89775.0,55.8845,82400.0,1.2569,,,,0.2539,52.0,,,85000.0,97.669,2.331,145100.0,1.8412717012084,ALABAMA
